x,y,,Hex,Terrain,Settlement,,Author,Description,More Info URL,Themes
19,17,,1917,forest,,,Gus L,"Hills of stone and frost, marked by outcroppings of black rock. An expedition or ambassadors (35 strong) from the deep south are encamped here, the vizier argues the guard captain about turning back - they have 5,000 GP in black pearls and incense they will trade at the rate of 200 GP per man for furs and warm clothing.",,
19,18,,1918,forest,,,Ben Djarum,"Anzett the Cold, the assassin from Hex [[1811]] and Hex [[1815]] sits hiding in a tree, restringing her crossbow.",,
19,19,,1919,hill,,,Zak Smith,The Temple of the White Tiger. The tiger priests offer mineral baths and fresh meat to those with something to trade and currently employ Anzett the Cold (Hex [[1918]]).,,WHITE TIGERS
19,20,,1920,hill,,,Joey Lindsey,"To the south end, a rod of brackish metal juts from the ground and pulls light toward it, making a sound like poison sucked from a wound. Half-formed winged mechanical things flutter about with great purpose and no objective; anyone sleeping in this place will remember the grey blue sky, and wake with some patch of skin harder, and shiny.",,
20,01,,2001,mountain,,,Zak Smith,The titanic and translucent fetus of a new frost giant king incubates in a mineral lake hidden by the mountains.,,"FROST GIANTS, GIANTS"
20,02,,2002,mountain,,,Zak Smith,"The Ringwolf—a rolling, circular demon with radiating heads like fire off a flaming wheel.",,
20,03,,2003,mountain,,,Gus L,"Jagged rust colored peaks march like an army Southward, this is tough ground, avoided by all. Random encounters are 1/2 as common, but more likely to be aggressive.",,
20,04,,2004,mountain,,,Ben Djarum,Three Fomorian Giants are plotting with Ursus the Cloud Giant Lord of the Northern Sky to steal the Frost Giant fetus in Hex [[2001]].,,GIANTS
20,05,,2005,tundra,,,Trent B,"The cruel Dreamwitch, Celia Mistworm, stalks these tundra swamps in the form of a black/blue/green Crane. If she spies travellers she will follow them for 2 days and steal their dreams (Save vs spell for each night's sleep: If failed, regain no HP that night, and also permanently gain a 3% chance of waking each night with a random temporary insanity from the nightmare left by a stolen dream). She is trying to prevent the machinations of the Toad God, and so scours dreams for information about the Monuments in Hexes [[1820]], [[1219]], [[0614]] and [[0208]].",,TOAD GODS
20,06,,2006,hill,,,Steven Goodman,Malpha Elfbain 5th lv Ranger & her 4 men-at-arm ride blink dog pulled sleds with a cargo of rare beasts for the Ice Zoo of Bunsarth the Burning (Hex [[1907]]). On Malpha's sled she has carefully tied a live gem encrusted Flailsnail worth a princesses ransom.,,
20,07,,2007,hill,,,Ed Hackett,Dozens of crudely built gibbets are filled with the bodies of dozens of dead goblin children. They hang from nooses fashioned from their entrails and their eyes have been removed.,,GOBLINS
20,08,,2008,tundra,,,Zak Smith,"Fjorgvinn, axe-wielding paladin of the God of Rust and Rain seeks to slay the witch who stole her dreams (Hex [[2005]]) but does not know where she is. A curse of evil weather follows her.",,
20,09,,2009,forest,,,Trent B,"A cold, rotten forest, filled with flickering movements and dark shadows. Dozens of ratfolk creep unseen through the undergrowth, stealing stuff and/or babies from the packs and pouches of travellers, but replacing them with sleeping ratfolk children wrapped in soft leathers, furs or fabrics.",,
20,10,,2010,forest,,,Ben Djarum,"A swarm of heavily armed goblin and hobgoblin marauders, seeking vengeance for the gruesome scene in Hex [[2007]]",,GOBLINS
20,11,,2011,forest,,,Jason K,"On even numbered days a frozen pond filled w/ frolicking children in states of whimsy and parents doting over them, they are parents of the children of Hex [[1820]]. On odd days, a site of depraved abuse by Ogre sized monsters. An ominous tree-fort w/ teenage scouts watches over in either case.",,
20,12,,2012,forest,,,Ed Hackett,"A beholder and his goblin shaman thrall perform a desperate surgery to replace its failing, aged eyes with those of the goblin children in Hex [[2007]]. They must work quickly and evade the war party that searches for them.",,GOBLINS
20,13,,2013,forest,,,Zak Smith,"The witch named Emptiness has a frost giant's eye on a turtle's back, in order to complete the process of transforming it into a beholder she needs to steal fluids from the failing eye tyrant in Hex [[2012]] .",,
20,14,,2014,forest,,,Zak Smith,White-bearded Jolnir's tiny protoelves build small golems year round. Once a year he and his team of 8 fearsome stags ride out on the Wild Hunt.,,
20,15,,2015,hill,,,Brian Green,"Lair of an adult female white dragon with 3 Young dragons and 2 eggs, her offspring.  She has mated with the ancient dragon mentioned in Hex [[0917]] in the past during his migration.",,
20,16,,2016,forest,,,Brian Green,Underground is a fully automated iron golem factory overseen by a lich.  Will pay handsomely for an intact specimen of the small golems built in Hex [[2014]],,
20,17,,2017,forest,VERR VAURKE,,Zak Smith,[[VERR VAURKE]] This settlement produces fierce warriors who dye their faces before each battle. Also known for fantastic wine and the Wyrd Archives of Aasivaal the Scholar.,,
20,18,,2018,hill,,,Trent B,"A trio of concerned Magus Astrologers riding armoured War-Stags traverse these woods with their 7 Wolf-headed Warrior-Tinker mercenaries.  They have travelled far to search the mountains and fens of The Kraal for meteors and other astrological/extraplanetary curiosities. The area has recently been extremely active, astrologically and/or meteorologically, and they are travelling to [[GJAST]] (Hex [[1512]]) to begin their investigations.",,
20,19,,2019,hill,EVERFLOWERING TEMPLE,,Brian Green,[[EVERFLOWERING TEMPLE]] A temple dedicated to the god/goddess of plants and agriculture built on a hilltop.  Second priest was murdered and replaced by a doppelganger recently.,,
20,20,,2020,hill,,,Kelvin Green,"A large and sturdy wooden cart rests here. The cart is empty, and the woolly rhinoceros that pulls it eyes passers by with lazy suspicion.",,
20,20,,2020,hill,,,Richard G,A band of explorers is ready to set off across the frozen wastes. They would love to find a guide with some knowledge of the area.,,
